
date,zone_id,hyacinth_coverage_pct,hyacinth_status,avg_water_temp,avg_pH,avg_TDS,avg_turbidity,avg_DO,avg_air_temp,avg_humidity,total_rainfall,avg_wind_speed,coverage_yesterday,coverage_7_days_ago,rolling_avg_coverage_last_7_days,num_sensors_active,data_completeness_pct
2025-06-30,North,20.9,Good,25.48,6.85,213.7,30.92,8.66,17.55,50.0,11.61,17.34,19.1,20.9,19.09,4,97.17
2025-07-01,North,19.6,Good,24.29,7.5,250.9,9.64,9.51,25.11,73.1,6.4,17.91,20.9,13.7,19.93,1,81.07
2025-07-02,North,32.1,Warning,29.59,7.69,171.0,48.06,8.38,24.65,59.7,1.67,1.83,19.6,18.4,21.9,4,86.57
2025-07-03,North,23.1,Good,26.73,7.5,258.3,40.53,5.46,24.89,42.3,10.99,8.83,32.1,21.9,22.07,3,90.92
2025-07-04,North,18.1,Good,27.06,7.94,237.6,42.66,9.33,31.77,57.0,4.45,7.93,23.1,15.9,22.39,3,94.12
2025-07-05,North,27.8,Warning,20.81,6.17,297.3,21.84,6.85,31.26,77.9,19.72,15.07,18.1,23.7,22.96,2,94.16
2025-07-06,North,17.8,Good,24.82,6.76,241.0,16.19,6.65,23.69,50.1,8.1,11.43,27.8,19.1,22.77,4,82.38
2025-07-07,North,25.2,Warning,21.18,7.3,249.2,31.25,9.81,22.5,51.4,17.37,4.47,17.8,20.9,23.38,2,96.04
2025-07-08,North,14.6,Good,29.78,7.11,164.5,6.95,9.62,33.38,50.1,13.91,1.51,25.2,19.6,22.67,3,92.59
2025-07-09,North,18.0,Good,26.96,6.91,225.5,31.29,9.51,15.91,51.2,19.01,17.81,14.6,32.1,20.65,4,82.14
2025-07-10,North,25.9,Warning,23.36,6.34,229.4,22.47,6.15,20.32,54.4,5.2,9.06,18.0,23.1,21.05,3,90.72
2025-07-11,North,28.9,Warning,23.1,7.63,236.9,12.32,9.55,31.45,78.0,14.51,12.27,25.9,18.1,22.59,2,81.65
2025-07-12,North,26.3,Warning,28.77,7.1,133.0,23.51,8.89,24.61,79.4,7.53,14.99,28.9,27.8,22.38,1,99.4
2025-07-13,North,25.1,Warning,28.42,7.68,193.7,23.67,6.37,16.13,74.6,16.26,19.99,26.3,17.8,23.42,2,98.26
2025-07-14,North,24.4,Good,25.85,7.45,251.4,22.0,6.21,19.1,50.1,5.49,4.14,25.1,25.2,23.31,1,93.43
2025-07-15,North,18.8,Good,26.18,6.72,122.7,35.22,7.6,30.45,60.8,17.04,11.04,24.4,14.6,23.91,1,81.77
2025-07-16,North,22.8,Good,27.92,7.18,196.0,23.92,8.92,27.79,72.2,18.06,12.35,18.8,18.0,24.6,2,87.01
2025-07-17,North,24.4,Good,25.9,6.78,187.5,45.69,6.74,25.28,71.3,7.93,12.44,22.8,25.9,24.39,3,93.95
2025-07-18,North,32.2,Warning,27.96,6.92,268.4,39.6,5.33,15.92,64.8,6.95,4.18,24.4,28.9,24.87,3,84.8
2025-07-19,North,28.9,Warning,20.76,6.26,125.6,11.84,5.69,27.82,47.3,6.91,17.94,32.2,26.3,25.24,3,90.3
2025-07-20,North,18.6,Good,29.73,7.2,144.8,41.98,6.73,21.95,41.3,10.97,10.69,28.9,25.1,24.32,4,84.13
2025-07-21,North,29.3,Warning,23.64,7.01,238.1,6.77,9.0,27.56,43.3,17.47,18.42,18.6,24.4,25.02,1,80.05
2025-07-22,North,26.0,Warning,28.68,6.17,219.5,49.38,7.68,33.48,49.4,15.2,10.63,29.3,18.8,26.06,2,94.95
2025-07-23,North,24.8,Good,20.37,6.5,242.7,45.28,7.56,25.64,44.3,8.95,10.65,26.0,22.8,26.34,3,82.1
2025-07-24,North,31.5,Warning,27.37,6.36,212.8,42.83,5.45,25.71,49.3,6.86,9.48,24.8,24.4,27.36,2,95.78
2025-07-25,North,33.9,Warning,24.98,6.17,207.4,31.41,8.73,23.63,45.1,5.68,7.26,31.5,32.2,27.6,2,92.15
2025-07-26,North,33.6,Warning,22.44,7.0,166.1,47.02,5.04,19.51,54.6,9.76,17.02,33.9,28.9,28.27,2,85.7
2025-07-27,North,25.0,Warning,21.73,7.79,116.0,28.6,7.05,34.65,44.5,7.96,19.39,33.6,18.6,29.19,4,80.11
2025-07-28,North,27.9,Warning,29.75,6.98,244.6,41.94,8.59,25.7,59.1,16.77,4.1,25.0,29.3,28.99,2,86.47
2025-07-29,North,31.4,Warning,24.25,7.02,148.5,10.17,8.05,20.77,63.2,3.09,9.62,27.9,26.0,29.75,3,91.88
2025-07-30,North,34.9,Warning,23.69,6.91,209.7,29.7,6.01,28.69,43.5,2.78,0.05,31.4,24.8,31.19,1,91.91
2025-06-01,Northeast,10.6,Good,26.94,7.09,150.4,20.56,5.91,33.17,63.3,8.02,9.24,10.6,10.6,10.64,2,92.3
2025-06-02,Northeast,19.3,Good,29.12,6.28,120.2,16.52,8.63,26.86,44.1,18.38,15.8,10.6,19.3,14.96,1,94.14
2025-06-03,Northeast,26.4,Warning,21.53,7.15,221.3,24.09,8.68,33.69,77.0,9.02,2.26,19.3,26.4,18.77,1,83.31
2025-06-04,Northeast,22.7,Good,21.86,7.67,166.4,19.01,6.14,27.16,55.2,14.88,4.11,26.4,22.7,19.76,1,80.09
2025-06-05,Northeast,25.9,Warning,23.33,6.8,207.5,46.39,6.73,21.94,69.5,9.04,4.49,22.7,25.9,20.99,4,98.25
2025-06-06,Northeast,21.3,Good,22.48,7.16,133.1,6.52,6.56,30.61,51.1,4.4,4.25,25.9,21.3,21.03,1,83.56
2025-06-07,Northeast,25.0,Good,29.61,6.3,182.9,8.84,9.98,25.04,63.8,1.34,15.0,21.3,25.0,21.59,3,96.0
2025-06-08,Northeast,24.0,Good,23.49,6.94,225.0,22.0,9.18,26.75,51.8,14.28,10.55,25.0,10.6,23.5,2,88.82
2025-06-09,Northeast,30.9,Warning,24.01,7.12,131.0,13.19,9.31,33.92,54.9,5.41,12.88,24.0,19.3,25.16,4,96.01
2025-06-10,Northeast,26.6,Warning,29.79,7.68,273.4,23.36,7.76,20.08,47.8,10.11,11.9,30.9,26.4,25.18,1,96.0
2025-06-11,Northeast,27.2,Warning,21.79,7.31,147.6,9.47,6.22,29.45,74.2,16.6,7.94,26.6,22.7,25.82,1,82.82
2025-06-12,Northeast,23.7,Good,24.06,6.65,117.4,33.5,8.68,31.96,44.9,17.53,12.86,27.2,25.9,25.52,2,97.85
2025-06-13,Northeast,23.6,Good,28.17,6.68,151.9,22.09,7.95,20.36,65.0,8.19,11.04,23.7,21.3,25.85,2,97.22
2025-06-14,Northeast,24.1,Good,22.2,7.95,256.0,10.14,7.83,34.71,58.8,3.64,9.7,23.6,25.0,25.74,1,85.37
2025-06-15,Northeast,28.5,Warning,25.42,7.27,151.6,11.27,9.17,34.69,61.0,3.43,5.45,24.1,24.0,26.38,3,96.45
2025-06-16,Northeast,24.7,Good,25.3,7.63,199.6,8.02,7.03,24.95,68.8,2.13,2.8,28.5,30.9,25.5,3,98.0
2025-06-17,Northeast,28.5,Warning,28.74,7.19,220.1,34.93,5.88,33.29,56.8,7.66,10.38,24.7,26.6,25.78,4,87.08
2025-06-18,Northeast,37.7,Warning,29.59,6.37,118.1,39.69,5.34,31.74,57.5,18.31,14.43,28.5,27.2,27.28,4,91.33
2025-06-19,Northeast,31.9,Warning,24.76,7.33,287.4,37.97,6.07,15.62,50.5,11.9,1.03,37.7,23.7,28.45,2,99.1
2025-06-20,Northeast,26.2,Warning,21.55,7.25,194.8,20.5,6.76,23.26,68.2,11.97,9.19,31.9,23.6,28.82,3,96.38
2025-06-21,Northeast,34.1,Warning,27.99,7.39,154.4,31.56,6.8,16.83,76.7,2.74,19.0,26.2,24.1,30.24,3,90.43
2025-06-22,Northeast,26.3,Warning,20.87,7.92,251.7,33.75,8.8,29.48,65.5,19.61,18.07,34.1,28.5,29.92,4,84.42
2025-06-23,Northeast,18.4,Good,29.88,7.89,107.9,36.75,9.63,18.61,62.7,18.31,0.68,26.3,24.7,29.02,1,94.62
2025-06-24,Northeast,23.8,Good,21.93,6.23,184.4,40.79,8.73,16.1,58.2,10.45,12.89,18.4,28.5,28.35,2,91.93
2025-06-25,Northeast,19.7,Good,22.3,6.24,115.4,36.33,6.7,29.5,42.6,6.31,10.79,23.8,37.7,25.78,1,93.23
2025-06-26,Northeast,27.6,Warning,27.38,7.04,185.4,44.45,7.09,24.24,79.6,0.0,3.71,19.7,31.9,25.16,2,98.78
2025-06-27,Northeast,29.7,Warning,27.99,8.0,170.1,39.52,7.01,24.6,65.1,17.47,19.68,27.6,26.2,25.66,2,81.83
2025-06-28,Northeast,38.2,Warning,23.36,7.05,246.5,5.15,7.34,20.94,74.1,14.31,11.78,29.7,34.1,26.26,4,80.36
2025-06-29,Northeast,31.8,Warning,29.88,6.86,176.9,35.58,6.09,34.0,71.5,1.79,8.35,38.2,26.3,27.04,4,97.68
2025-06-30,Northeast,29.3,Warning,26.01,7.81,297.8,38.45,5.32,23.03,73.5,4.61,16.61,31.8,18.4,28.59,2,84.61
2025-07-01,Northeast,34.8,Warning,21.77,6.44,137.3,40.08,6.75,16.16,78.8,17.68,18.56,29.3,23.8,30.16,2,90.5
2025-07-02,Northeast,19.8,Good,22.6,7.03,198.2,49.84,9.49,24.27,64.9,14.96,0.7,34.8,19.7,30.17,4,91.6
2025-07-03,Northeast,32.3,Warning,20.91,7.75,153.1,10.83,9.44,34.11,74.5,16.19,13.1,19.8,27.6,30.84,1,94.7
2025-07-04,Northeast,35.2,Warning,22.81,6.51,101.0,36.31,5.24,25.65,78.5,2.19,17.89,32.3,29.7,31.63,1,97.02
2025-07-05,Northeast,24.3,Good,24.95,6.96,218.5,42.11,6.74,28.56,62.6,5.34,17.57,35.2,38.2,29.63,3,97.36
2025-07-06,Northeast,37.6,Warning,22.45,6.31,132.1,20.03,6.19,33.6,44.2,13.98,3.78,24.3,31.8,30.47,1,97.62
2025-07-07,Northeast,33.8,Warning,28.72,6.06,265.2,10.8,6.68,29.87,46.4,16.36,16.64,37.6,29.3,31.12,1,85.17
2025-07-08,Northeast,30.3,Warning,21.93,6.17,165.3,30.19,5.58,22.53,40.4,16.37,2.57,33.8,34.8,30.49,3,95.22
2025-07-09,Northeast,35.8,Warning,25.41,7.93,168.4,33.47,9.66,17.05,77.5,13.76,1.36,30.3,19.8,32.78,3,83.33
2025-07-10,Northeast,44.3,Warning,27.71,7.42,194.7,7.61,5.37,32.05,79.6,13.52,8.92,35.8,32.3,34.48,3,82.6
2025-07-11,Northeast,34.1,Warning,27.58,6.05,104.4,19.56,7.44,30.41,67.3,8.92,5.47,44.3,35.2,34.32,1,98.89
2025-07-12,Northeast,34.7,Warning,21.02,7.71,205.4,42.17,6.49,31.8,70.9,4.6,2.63,34.1,24.3,35.8,3,99.02
2025-07-13,Northeast,31.4,Warning,21.51,6.86,288.7,23.89,8.19,22.95,51.0,19.68,8.19,34.7,37.6,34.91,4,94.49
2025-07-14,Northeast,29.7,Warning,27.46,6.4,273.6,37.17,7.81,24.43,61.7,3.18,4.07,31.4,33.8,34.32,1,95.53
2025-07-15,Northeast,38.3,Warning,27.71,7.69,252.2,33.18,5.66,15.65,76.8,12.33,15.93,29.7,30.3,35.46,1,80.02
2025-07-16,Northeast,30.2,Warning,25.98,7.21,149.5,30.13,6.13,18.22,66.1,6.52,11.81,38.3,35.8,34.65,4,86.21
2025-07-17,Northeast,35.1,Warning,24.55,6.02,114.5,22.66,7.4,27.0,51.7,13.9,17.2,30.2,44.3,33.34,2,98.16
2025-07-18,Northeast,32.6,Warning,27.24,7.5,129.2,9.63,7.85,15.37,59.3,4.21,6.92,35.1,34.1,33.12,4,80.2
2025-07-19,Northeast,37.6,Warning,23.26,7.04,117.6,20.78,5.17,16.57,55.9,2.65,11.35,32.6,34.7,33.54,2,93.86
2025-07-20,Northeast,37.1,Warning,28.21,6.08,234.1,47.82,5.62,32.92,63.8,12.33,12.26,37.6,31.4,34.36,1,94.18
2025-07-21,Northeast,40.9,Warning,28.71,7.43,260.3,20.28,9.07,16.6,75.8,10.95,16.35,37.1,29.7,35.96,2,89.62
2025-07-22,Northeast,33.4,Warning,20.41,6.33,187.7,37.62,7.97,28.01,59.2,12.31,6.58,40.9,38.3,35.26,2,86.74
2025-07-23,Northeast,34.9,Warning,21.82,7.58,231.7,27.42,7.78,29.38,49.1,19.93,19.5,33.4,30.2,35.93,3,81.63
2025-07-24,Northeast,31.6,Warning,24.03,6.44,183.7,14.16,9.2,18.48,78.4,8.32,16.92,34.9,35.1,35.44,1,86.92
2025-07-25,Northeast,34.5,Warning,23.71,7.98,108.0,44.02,7.89,23.77,69.0,9.73,17.47,31.6,32.6,35.71,2,95.86
2025-07-26,Northeast,38.9,Warning,26.55,7.98,156.8,21.16,6.92,24.32,73.4,4.72,15.52,34.5,37.6,35.9,4,98.18
2025-07-27,Northeast,41.0,Warning,21.8,6.48,294.3,13.14,9.27,24.85,49.9,17.41,8.91,38.9,37.1,36.45,4,91.59
2025-07-28,Northeast,32.9,Warning,26.63,6.19,230.4,19.05,7.0,32.16,40.4,11.77,11.97,41.0,40.9,35.31,4,99.4
2025-07-29,Northeast,42.1,Warning,24.54,6.47,114.7,12.64,7.6,21.74,73.2,8.62,4.97,32.9,33.4,36.55,3,98.97
2025-07-30,Northeast,44.8,Warning,22.53,6.72,175.9,32.25,6.78,25.67,71.3,14.11,8.93,42.1,34.9,37.96,3,97.37
2025-06-01,Central,29.7,Warning,23.96,7.39,177.7,25.19,6.19,22.47,49.1,1.46,12.07,29.7,29.7,29.7,2,92.85
2025-06-02,Central,30.3,Warning,27.59,7.0,208.5,47.82,9.24,33.28,72.6,2.18,2.98,29.7,30.3,29.99,4,91.6
2025-06-03,Central,31.2,Warning,25.34,7.22,253.0,41.58,8.59,34.11,40.7,3.92,0.15,30.3,31.2,30.38,3,81.43
2025-06-04,Central,31.6,Warning,29.55,7.31,176.0,13.87,7.4,18.89,46.7,12.35,10.46,31.2,31.6,30.68,2,86.15
2025-06-05,Central,35.7,Warning,28.03,7.08,162.3,32.47,8.58,20.45,56.5,2.44,3.62,31.6,35.7,31.67,3,97.19
2025-06-06,Central,32.5,Warning,28.0,6.37,159.1,40.7,5.93,33.36,57.0,1.74,16.31,35.7,32.5,31.82,4,80.87
2025-06-07,Central,36.2,Warning,26.33,7.9,220.3,41.86,9.42,19.56,48.5,12.22,8.22,32.5,36.2,32.44,1,98.12
2025-06-08,Central,32.4,Warning,27.7,7.11,151.1,18.59,8.66,32.02,66.9,16.19,15.33,36.2,29.7,32.82,2,89.04
2025-06-09,Central,33.4,Warning,25.87,6.34,247.4,43.83,6.08,16.91,40.9,12.84,12.14,32.4,30.3,33.27,4,92.76
2025-06-10,Central,23.3,Good,22.57,7.26,111.7,11.38,6.37,26.94,67.0,8.85,8.92,33.4,31.2,32.15,1,93.85
2025-06-11,Central,38.1,Warning,29.91,6.26,120.8,37.6,7.89,20.48,43.2,1.71,17.88,23.3,31.6,33.09,3,88.02
2025-06-12,Central,35.5,Warning,23.67,6.69,223.4,24.91,9.16,28.39,42.8,12.8,5.42,38.1,35.7,33.07,4,93.02
2025-06-13,Central,39.0,Warning,25.33,6.65,166.6,35.13,9.97,28.24,62.3,14.61,9.3,35.5,32.5,34.0,4,91.61
2025-06-14,Central,19.8,Good,20.89,7.92,227.0,38.97,5.85,23.19,56.9,16.44,0.02,39.0,36.2,31.66,4,93.3
2025-06-15,Central,45.0,Warning,27.95,7.85,146.9,22.97,5.76,34.85,77.1,10.8,16.84,19.8,32.4,33.46,1,81.86
2025-06-16,Central,34.1,Warning,22.57,7.58,272.9,32.38,7.53,18.19,42.5,2.35,4.55,45.0,33.4,33.56,1,87.2
2025-06-17,Central,40.6,Warning,20.88,7.87,210.8,18.75,6.98,23.94,64.0,10.31,18.39,34.1,23.3,36.03,3,91.49
2025-06-18,Central,30.1,Warning,25.67,6.78,200.2,22.87,7.7,27.56,67.0,10.65,14.43,40.6,38.1,34.89,3,95.8
2025-06-19,Central,38.6,Warning,23.05,6.16,180.6,12.81,8.47,21.92,79.0,12.82,16.45,30.1,35.5,35.34,1,89.59
2025-06-20,Central,30.6,Warning,23.14,7.21,127.8,45.42,9.15,21.35,78.1,16.5,13.33,38.6,39.0,34.13,2,81.36
2025-06-21,Central,33.0,Warning,20.26,6.27,292.6,29.73,9.83,23.65,52.5,10.12,8.79,30.6,19.8,36.0,4,97.03
2025-06-22,Central,45.9,Warning,20.0,6.04,220.5,21.42,6.93,26.29,47.7,4.24,9.69,33.0,45.0,36.13,2,81.16
2025-06-23,Central,35.6,Warning,26.95,7.97,147.8,11.4,5.61,21.07,44.0,13.84,1.25,45.9,34.1,36.35,4,92.66
2025-06-24,Central,37.9,Warning,22.29,6.47,144.2,12.82,8.28,31.96,69.0,15.84,8.1,35.6,40.6,35.97,4,83.89
2025-06-25,Central,41.5,Warning,23.68,6.83,265.5,38.01,8.85,15.22,56.6,9.63,0.38,37.9,30.1,37.59,3,91.64
2025-06-26,Central,39.8,Warning,26.81,6.38,223.8,19.56,9.17,27.59,48.0,1.29,0.85,41.5,38.6,37.76,1,82.19
2025-06-27,Central,38.4,Warning,25.48,6.91,268.9,9.41,7.44,18.0,53.0,14.75,9.52,39.8,30.6,38.87,1,92.28
2025-06-28,Central,39.7,Warning,28.6,6.78,291.2,10.99,5.51,28.17,77.7,16.18,1.53,38.4,33.0,39.83,1,96.82
2025-06-29,Central,50.1,Critical,20.38,7.8,192.3,33.67,8.3,32.9,65.5,12.28,1.33,39.7,45.9,40.44,4,97.65
2025-06-30,Central,38.1,Warning,21.06,7.98,188.7,7.15,5.19,29.92,66.4,16.04,2.11,50.1,35.6,40.78,1,99.13
2025-07-01,Central,39.6,Warning,27.38,6.71,159.3,20.74,8.87,28.23,47.4,3.48,1.97,38.1,37.9,41.03,2,96.61
2025-07-02,Central,44.1,Warning,20.69,6.85,116.5,28.16,9.49,30.65,49.1,19.52,13.35,39.6,41.5,41.41,3,82.43
2025-07-03,Central,44.7,Warning,26.15,7.55,228.8,28.86,5.21,34.37,71.9,5.86,19.6,44.1,39.8,42.1,2,89.72
2025-07-04,Central,45.3,Warning,29.2,7.04,223.3,12.05,5.22,17.22,63.9,1.9,7.52,44.7,38.4,43.1,2,88.79
2025-07-05,Central,42.8,Warning,26.13,7.89,148.1,10.47,5.99,32.74,65.8,5.72,16.32,45.3,39.7,43.54,3,97.59
2025-07-06,Central,34.2,Warning,22.58,7.09,227.2,14.95,9.89,29.96,62.3,3.61,1.08,42.8,50.1,41.27,4,90.9
2025-07-07,Central,48.3,Warning,29.85,7.87,108.6,12.42,5.66,29.52,72.7,4.27,10.12,34.2,38.1,42.73,4,86.85
2025-07-08,Central,34.7,Warning,24.13,7.52,248.7,32.54,5.53,18.03,43.8,11.54,17.54,48.3,39.6,42.02,1,83.2
2025-07-09,Central,42.2,Warning,24.62,6.02,149.3,37.69,9.96,16.98,56.1,16.0,4.08,34.7,44.1,41.74,2,94.85
2025-07-10,Central,37.1,Warning,28.15,7.23,237.6,21.89,7.69,25.48,73.9,16.8,16.65,42.2,44.7,40.67,2,84.05
2025-07-11,Central,40.8,Warning,29.58,6.74,165.4,11.7,6.53,32.53,79.9,7.37,8.97,37.1,45.3,40.03,4,95.61
2025-07-12,Central,43.1,Warning,22.17,6.28,232.6,5.08,5.89,15.58,46.7,3.63,7.75,40.8,42.8,40.06,1,91.76
2025-07-13,Central,43.3,Warning,24.81,7.28,113.0,31.1,7.81,26.21,64.1,13.53,16.1,43.1,34.2,41.36,3,80.46
2025-07-14,Central,44.0,Warning,23.22,7.27,129.8,36.29,8.73,34.64,48.4,16.5,10.41,43.3,48.3,40.75,1,82.95
2025-07-15,Central,50.3,Critical,23.28,6.87,117.7,14.93,7.99,29.71,79.9,18.66,12.85,44.0,34.7,42.97,1,92.75
2025-07-16,Central,44.7,Warning,24.96,6.36,237.2,49.6,8.74,29.8,78.0,4.06,11.31,50.3,42.2,43.34,2,86.69
2025-07-17,Central,41.5,Warning,20.26,6.05,266.3,17.29,7.59,20.97,77.6,5.19,8.59,44.7,37.1,43.95,3,87.54
2025-07-18,Central,47.8,Warning,24.62,6.96,187.0,47.18,8.53,27.62,42.0,18.08,18.19,41.5,40.8,44.94,4,94.59
2025-07-19,Central,49.2,Warning,27.66,6.32,222.0,11.09,8.76,28.14,78.3,1.38,1.14,47.8,43.1,45.81,2,80.73
2025-07-20,Central,37.3,Warning,22.76,6.55,257.4,48.87,6.86,23.58,73.8,5.36,3.13,49.2,43.3,44.96,4,80.67
2025-07-21,Central,46.7,Warning,20.63,7.81,127.8,28.96,7.06,21.95,76.0,0.44,13.28,37.3,44.0,45.34,4,82.56
2025-07-22,Central,47.5,Warning,28.82,6.79,265.6,40.45,8.12,24.89,79.2,2.9,14.5,46.7,50.3,44.94,1,91.31
2025-07-23,Central,42.7,Warning,24.64,7.94,221.7,20.73,5.57,18.02,49.0,5.02,17.01,47.5,44.7,44.66,3,90.9
2025-07-24,Central,51.4,Critical,29.81,6.45,180.8,29.41,8.96,25.98,64.5,4.52,16.94,42.7,41.5,46.07,2,83.32
2025-07-25,Central,44.0,Warning,29.46,7.7,233.8,25.8,7.06,28.02,61.8,1.25,10.25,51.4,47.8,45.53,4,87.12
2025-07-26,Central,45.6,Warning,29.78,7.59,199.5,20.29,9.36,25.9,70.3,15.08,0.36,44.0,49.2,45.02,4,97.56
2025-07-27,Central,44.4,Warning,28.8,7.74,147.8,25.31,9.92,30.44,41.1,1.3,9.28,45.6,37.3,46.03,4,85.65
2025-07-28,Central,45.6,Warning,23.91,7.6,174.4,25.33,6.99,16.87,57.6,3.91,3.73,44.4,46.7,45.87,4,85.74
2025-07-29,Central,40.3,Warning,27.93,7.16,226.9,40.91,6.98,33.3,61.3,3.16,13.92,45.6,47.5,44.84,4,83.32
2025-07-30,Central,38.8,Warning,26.13,6.73,279.4,12.6,7.54,26.96,41.3,7.27,14.65,40.3,42.7,44.28,4,83.04
2025-06-01,West,49.3,Warning,20.33,6.61,230.6,47.22,9.36,30.32,71.5,13.3,5.21,49.3,49.3,49.31,1,97.48
2025-06-02,West,33.9,Warning,20.0,6.34,178.0,22.08,6.13,22.63,45.2,8.26,16.05,49.3,33.9,41.61,3,88.45
2025-06-03,West,39.6,Warning,20.42,7.48,283.6,17.6,9.29,20.84,76.4,15.08,16.1,33.9,39.6,40.95,4,99.64
2025-06-04,West,46.8,Warning,26.21,7.12,225.6,28.97,8.18,24.0,48.7,2.4,1.37,39.6,46.8,42.42,1,84.84
2025-06-05,West,39.6,Warning,20.12,6.94,160.3,31.93,6.49,21.0,69.7,0.96,18.06,46.8,39.6,41.86,4,97.55
2025-06-06,West,42.5,Warning,23.3,6.68,297.8,33.18,7.66,31.76,51.4,8.58,5.36,39.6,42.5,41.97,2,97.11
2025-06-07,West,35.2,Warning,25.21,6.13,266.3,31.95,5.57,16.88,76.4,13.38,16.59,42.5,35.2,41.01,4,99.12
2025-06-08,West,42.9,Warning,20.25,7.39,116.4,45.98,7.32,17.75,53.6,3.3,3.41,35.2,49.3,40.09,1,92.63
2025-06-09,West,40.1,Warning,25.92,7.41,147.5,28.06,5.52,22.69,59.5,13.04,19.01,42.9,33.9,40.98,2,89.46
2025-06-10,West,46.2,Warning,29.84,6.54,181.4,45.12,5.01,15.8,64.2,18.15,4.78,40.1,39.6,41.92,2,99.43
